Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Freight,Mail,Total Cargo,Passenger Tonne Kilometer,Mail Tonne Kilometer,Freight Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor,pct_change,volatility_6mo
ScheduledDomestic,AIX Connect,2024,1,5158,9689.633,5223.556,802969,824479.344,941483.042,87.572,3252.917,268.917,3521.834,61835.951,4074.202,224.808,66134.961,104471.12,63.305,,
ScheduledDomestic,AIX Connect,2024,2,4933,9296,5015.671,768022,791997.592,904055.772,87.605,3125.951,256.138,3382.09,59399.819,3887.673,212.926,63500.419,100313.42,63.302,-4.352222813,
ScheduledDomestic,AIX Connect,2024,3,5074,9603,5198,769891,797436,936995,85.106,3252.917,268.917,3521.834,59807,3917,273.174,63997.174,103969.98,61.554,0.243352404,
ScheduledDomestic,AIX Connect,2024,4,4687,8917.1,4846.239,716857,749772.25,873583.38,85.827,2809.047,226.123,3035.17,56232.919,3466.507,194.144,59893.57,96924.78,61.794,-6.888507594,3.615141286
ScheduledDomestic,AIX Connect,2024,5,4511,8636.3,4728.24,703339,740843.459,852135.126,86.94,3208.614,201.471,3410.086,74084.346,4048.841,237.017,78370.204,94564.8,82.875,-1.885731743,3.083015607
ScheduledDomestic,AIX Connect,2024,6,4048,7725.8,4223.778,637860,674786.999,761644.692,88.596,2744.833,213.316,2958.149,67478.7,3531.604,244.511,71254.814,84475.56,84.35,-9.309735419,3.813636164
ScheduledDomestic,AIX Connect,2024,7,3916,7392.45,4020.043,590023,621406.434,724893.594,85.724,2796.515,232.63,3029.145,62140.643,3637.159,189.55,65967.353,80400.86,82.048,-7.499608064,3.632728537
ScheduledDomestic,AIX Connect,2024,8,3857,7316.5,3986.787,577347,607076.098,718957.8,84.438,2538.507,160.528,2699.034,60707.61,3344.212,139.374,64191.195,79735.74,80.505,-2.148390825,3.812092243
ScheduledDomestic,AIX Connect,2024,9,3684,7027.617,3846.924,535294,566013.822,693678.264,81.596,1461.365,,1461.365,56601.382,1813.054,,58414.436,76938.48,75.924,-7.283834505,3.073808949
ScheduledDomestic,Air Carnival,2016,8,88,122.26,1.667,4036,1683.306,2567.11,65.572,0,0,0,133.187,0,0,133.187,245.279,54.3,,
ScheduledDomestic,Air Carnival,2016,9,150,153.517,1.667,6357,2603.822,4309.34,60.423,0,0,0,209.842,0,0,209.842,408.125,51.416,57.5074331,
ScheduledDomestic,Air Carnival,2016,10,188,216.03,76.628,7708,3140.474,5363.96,58.548,0,0,0,232.88,0,0,232.88,507.26,45.909,21.25216297,
ScheduledDomestic,Air Carnival,2016,11,194,213.066,78.956,9232,3758.463,5526.92,68.003,0,0,0,288.94,0,0,288.94,522.5,55.3,19.7716658,21.37219618
ScheduledDomestic,Air Carnival,2016,12,234,257.067,96.778,9752,4007.39,6802.74,58.908,0,0,0,306.67,0,0,306.67,626.925,48.917,5.632582322,22.12748996
ScheduledDomestic,Air Carnival,2017,1,278,315.016,116.988,11041,4552.54,8049.16,56.559,0,0,0,367,0,0,367,759.364,48.33,13.21780148,20.0026509
ScheduledDomestic,Air Carnival,2017,2,266,272.75,109.872,13629,5661.302,7691.04,73.609,0,0,0,452.908,0,0,452.908,727.62,62.245,23.43990581,17.89092104
ScheduledDomestic,Air Carnival,2017,3,280,253.15,119.14,12970,5376.773,8297.68,64.799,0,0,0,411,0,0,411,756.225,54.349,-4.835277717,10.91174122
ScheduledDomestic,Air Carnival,2017,4,21,4.68,8.792,1008,421.368,631.6,66.714,0,0,0,33,0,0,33,58,56.897,-92.22821897,43.52476042
ScheduledDomestic,Air Costa,2015,1,1032,1150,695,65179,51209,66947,76.492,224.17,0,224.17,5012,255,0,5267,7050,74.709,,
ScheduledDomestic,Air Costa,2015,2,950,1310,638,61717,47820,61398,77.885,262,0,262,4715,262,0,4977,6455,77.103,-5.311526719,
ScheduledDomestic,Air Costa,2015,3,1046,1432,700,61790,46619,67337,69.232,265,0,265,4591,305,0,4896,7083,69.123,0.118281835,
ScheduledDomestic,Air Costa,2015,4,980,1382,690,66134,51417,66898,76.859,238,0,238,5027,270,0,5297,7028,75.37,7.030263797,6.185710801
ScheduledDomestic,Air Costa,2015,5,801,1221,629,61345,51616,63562,81.206,234,0,234,5038,275,0,5313,6721,79.051,-7.241358454,6.397563769
ScheduledDomestic,Air Costa,2015,6,946,1359,685,65903,53277.41,67294.4,79.171,295,0,295,5195.08,352.15,0,5547.23,7071.33,78.447,7.430108403,6.791059398
ScheduledDomestic,Air Costa,2015,7,938,1356,689.12,68327,55519,67977,81.673,307,0,307,5451,347.9,0,5798.9,7152.3,81.077,3.678133014,6.219339921
ScheduledDomestic,Air Costa,2015,8,883,1282.5,666.28,62026,51422,66501,77.325,269.24,0,269.24,5040,304,0,5344,7038,75.931,-9.221830316,7.143067042
ScheduledDomestic,Air Costa,2015,9,839,1230,636,59341,50220,63627,78.929,254,0,254,4943,292,0,5235,6649,78.734,-4.328829846,7.391947709
ScheduledDomestic,Air Costa,2015,10,773,972.11,624,57942,50267,64091,78.431,170.27,0,170.27,4899,192,0,5091,6626,76.834,-2.35756054,6.42410809
ScheduledDomestic,Air Costa,2015,11,628,813,499,45620,39962,51227,78.01,150.36,0,150.36,3918.5,184,0,4102.5,5425.93,75.609,-21.26609368,10.16937462
ScheduledDomestic,Air Costa,2015,12,691,833.1,518,55444,45720,52518,87.056,159.48,0,159.48,4468.9,159,0,4627.9,5556.87,83.282,21.53441473,14.24779368
ScheduledDomestic,Air Costa,2016,1,765,903.36,561,58607,47775,56885,83.985,149,0,149,4677,173,0,4850,6004,80.779,5.70485535,14.43198736
ScheduledDomestic,Air Costa,2016,2,690,798,491,56760,44041,50590,87.055,150.922,0,150.922,4342,163,0,4505,5333,84.474,-3.151500674,14.00187568
ScheduledDomestic,Air Costa,2016,3,608,775.43,483,54387,44391,54082,82.081,155.9,0,155.9,4354.27,173.1,0,4527.37,5742,78.847,-4.180761099,13.99421096
ScheduledDomestic,Air Costa,2016,4,714,879.19,560,64459,52416,62393,84.009,207,0,207,5113,220,0,5333,6660,80.075,18.51913141,15.9362117
ScheduledDomestic,Air Costa,2016,5,714,906.417,563,65321,53773.46,62761.74,85.679,181.21,0,181.21,5467.59,186.07,0,5653.66,6684.36,84.58,1.337284165,10.99920018
ScheduledDomestic,Air Costa,2016,6,698,876.183,549,62187,49822,61124,81.51,219.8,0,219.8,5057,232,0,5289,6524,81.07,-4.797844491,8.918025932
ScheduledDomestic,Air Costa,2016,7,744,936,581,65239,52340,64771,80.808,244.01,0,244.01,5302,234,0,5536,6904,80.185,4.907778153,8.861822771
ScheduledDomestic,Air Costa,2016,8,721,885.933,550,55188,43382,61251,70.827,197.7,0,197.7,4246,194,0,4440,6531,67.983,-15.40642867,11.37246677
ScheduledDomestic,Air Costa,2016,9,648,836.15,527,50799,43269,58697,73.716,179.7,0,179.7,4256,190,0,4446,6259,71.034,-7.95281583,11.75192628
