RoutePair,start_year,end_year,cagr_pct,span_years
AGARTALA - BENGALURU,2016.0,2025.0,22.25,9.0
AGARTALA - CHENNAI,2016.0,2025.0,-4.08,9.0
AGARTALA - DELHI,2016.0,2025.0,10.21,9.0
AGARTALA - GUWAHATI,2016.0,2025.0,6.34,9.0
AGARTALA - HYDERABAD,2016.0,2025.0,40.09,9.0
AGARTALA - IMPHAL,2016.0,2025.0,6.56,9.0
AGARTALA - KOLKATA,2016.0,2025.0,0.44,9.0
AGATTI ISLAND - BENGALURU,2019.0,2025.0,44.67,6.0
AGATTI ISLAND - KOCHI,2016.0,2025.0,15.36,9.0
AHMEDABAD - BENGALURU,2016.0,2025.0,10.4,9.0
AHMEDABAD - BHUBANESWAR,2018.0,2025.0,32.75,7.0
AHMEDABAD - CHANDIGARH,2019.0,2025.0,7.71,6.0
AHMEDABAD - CHENNAI,2016.0,2025.0,2.82,9.0
AHMEDABAD - COIMBATORE,2016.0,2024.0,3.86,8.0
AHMEDABAD - DELHI,2016.0,2025.0,3.43,9.0
AHMEDABAD - GUWAHATI,2016.0,2025.0,23.83,9.0
AHMEDABAD - HYDERABAD,2016.0,2025.0,6.8,9.0
AHMEDABAD - INDORE,2018.0,2025.0,17.82,7.0
AHMEDABAD - JAIPUR,2016.0,2025.0,11.17,9.0
AHMEDABAD - KOCHI,2016.0,2025.0,15.18,9.0
AHMEDABAD - KOLKATA,2016.0,2025.0,7.64,9.0
AHMEDABAD - LUCKNOW,2017.0,2025.0,12.11,8.0
AHMEDABAD - MUMBAI,2016.0,2025.0,-0.99,9.0
AHMEDABAD - NAGPUR,2017.0,2025.0,31.22,8.0
AHMEDABAD - PATNA,2019.0,2025.0,6.21,6.0
AHMEDABAD - PUNE,2016.0,2025.0,6.02,9.0
AHMEDABAD - VARANASI,2018.0,2025.0,3.32,7.0
AHMEDABAD - VISAKHAPATNAM,2017.0,2024.0,-3.5,7.0
AIZAWL - DELHI,2016.0,2025.0,31.09,9.0
AIZAWL - GUWAHATI,2016.0,2025.0,10.4,9.0
AIZAWL - IMPHAL,2016.0,2025.0,-3.06,9.0
AIZAWL - KOLKATA,2016.0,2025.0,2.27,9.0
ALLAHABAD - DELHI,2016.0,2024.0,15.5,8.0
AMRITSAR - BENGALURU,2016.0,2025.0,45.12,9.0
AMRITSAR - CHENNAI,2016.0,2024.0,-10.1,8.0
AMRITSAR - DELHI,2016.0,2025.0,3.57,9.0
AMRITSAR - HYDERABAD,2019.0,2025.0,-0.2,6.0
AMRITSAR - MUMBAI,2016.0,2025.0,8.91,9.0
AMRITSAR - PUNE,2018.0,2025.0,44.91,7.0
AMRITSAR - SRINAGAR,2016.0,2025.0,4.95,9.0
AURANGABAD - DELHI,2016.0,2025.0,14.2,9.0
AURANGABAD - HYDERABAD,2016.0,2025.0,7.56,9.0
AURANGABAD - MUMBAI,2016.0,2025.0,2.06,9.0
BAGDOGRA - BENGALURU,2016.0,2025.0,36.23,9.0
BAGDOGRA - CHENNAI,2016.0,2025.0,18.8,9.0
BAGDOGRA - DELHI,2016.0,2025.0,4.53,9.0
BAGDOGRA - GUWAHATI,2016.0,2025.0,-4.16,9.0
BAGDOGRA - HYDERABAD,2017.0,2025.0,52.3,8.0
BAGDOGRA - KOLKATA,2016.0,2025.0,2.08,9.0
BAGDOGRA - MUMBAI,2016.0,2025.0,29.01,9.0
BELGAUM - BENGALURU,2016.0,2025.0,6.63,9.0
