RoutePair,TotalPax,cumulative_pax,cumulative_pct,route_rank
DELHI - MUMBAI,61532916.0,61532916.0,4.5519992196587475,1
BENGALURU - DELHI,42644947.0,104177863.0,7.706729697024531,2
BENGALURU - MUMBAI,34763401.0,138941264.0,10.278409775125887,3
DELHI - KOLKATA,28327924.0,167269188.0,12.374014799639145,4
DELHI - HYDERABAD,27482175.0,194751363.0,14.407054143240627,5
DELHI - PUNE,25290227.0,220041590.0,16.27794050866158,6
CHENNAI - DELHI,22941477.0,242983067.0,17.97507420864451,7
AHMEDABAD - DELHI,21270988.0,264254055.0,19.548630722322013,8
CHENNAI - MUMBAI,20434147.0,284688202.0,21.060280539119127,9
HYDERABAD - MUMBAI,19880540.0,304568742.0,22.530976362577167,10
DELHI - SRINAGAR,19840731.0,324409473.0,23.99872724942705,11
BENGALURU - HYDERABAD,19230446.0,343639919.0,25.421331294157994,12
AHMEDABAD - MUMBAI,18595880.0,362235799.0,26.796992269640903,13
BENGALURU - KOLKATA,18517224.0,380753023.0,28.166834537448366,14
KOLKATA - MUMBAI,17527547.0,398280570.0,29.463463812526637,15
DELHI - PATNA,16157189.0,414437759.0,30.65871858835879,16
DELHI - LUCKNOW,16085886.0,430523645.0,31.848698606850352,17
BENGALURU - PUNE,15594361.0,446118006.0,33.002317250619434,18
DELHI - GUWAHATI,14327992.0,460445998.0,34.062254153386675,19
CHENNAI - HYDERABAD,12885437.0,473331435.0,35.015475664438775,20
BENGALURU - CHENNAI,12064015.0,485395450.0,35.90793112463428,21
GOA - MUMBAI,11498605.0,496894055.0,36.75855944504679,22
BENGALURU - KOCHI,11439652.0,508333707.0,37.60482661979222,23
GUWAHATI - KOLKATA,11284978.0,519618685.0,38.43965152959929,24
DABOLIM - MUMBAI,11249115.0,530867800.0,39.271823414673804,25
DABOLIM - DELHI,10398493.0,541266293.0,40.04106913060293,26
KOCHI - MUMBAI,10397047.0,551663340.0,40.810207876290775,27
BHUBANESWAR - DELHI,10386541.0,562049881.0,41.57856942325458,28
CHENNAI - KOLKATA,10354884.0,572404765.0,42.34458909129138,29
JAIPUR - MUMBAI,10049911.0,582454676.0,43.08804787731153,30
BAGDOGRA - DELHI,9957347.0,592412023.0,43.82465908835622,31
AMRITSAR - DELHI,9879343.0,602291366.0,44.555499824503705,32
HYDERABAD - KOLKATA,9566954.0,611858320.0,45.2632310677705,33
DELHI - RANCHI,9328551.0,621186871.0,45.95332605485915,34
DELHI - KOCHI,9040664.0,630227535.0,46.62212412503669,35
DELHI - VARANASI,8659014.0,638886549.0,47.26268900531986,36
AHMEDABAD - BENGALURU,8645009.0,647531558.0,47.902217842567595,37
AGARTALA - KOLKATA,8484714.0,656016272.0,48.52988859210639,38
DELHI - GOA,8444348.0,664460620.0,49.15457320004089,39
CHENNAI - COIMBATORE,8240341.0,672700961.0,49.764166052778805,40
HYDERABAD - VISAKHAPATNAM,8109258.0,680810219.0,50.3640618238164,41
DELHI - INDORE,7858180.0,688668399.0,50.94538368458987,42
LUCKNOW - MUMBAI,7614305.0,696282704.0,51.50866448893602,43
CHANDIGARH - DELHI,7361990.0,703644694.0,52.05327987389738,44
MUMBAI - NAGPUR,7341131.0,710985825.0,52.59635217983869,45
CHENNAI - PUNE,7241222.0,718227047.0,53.13203355228292,46
DELHI - JAMMU,7236779.0,725463826.0,53.667386246454654,47
DELHI - RAIPUR,6904608.0,732368434.0,54.1781660415817,48
BAGDOGRA - KOLKATA,6711547.0,739079981.0,54.67466382996382,49
DELHI - LEH,6656129.0,745736110.0,55.16706198014978,50
CHANDIGARH - MUMBAI,6547297.0,752283407.0,55.65140910315747,51
INDORE - MUMBAI,6344249.0,758627656.0,56.12073541457949,52
DELHI - JAIPUR,6161989.0,764789645.0,56.57657874109348,53
BENGALURU - BHUBANESWAR,6161507.0,770951152.0,57.03238641086037,54
BENGALURU - DABOLIM,6146973.0,777098125.0,57.48711890394201,55
MUMBAI - VARANASI,5883280.0,782981405.0,57.9223442712728,56
HYDERABAD - TIRUPATI,5848338.0,788829743.0,58.354984746369084,57
CHENNAI - KOCHI,5790449.0,794620192.0,58.783342786957874,58
DELHI - NAGPUR,5704949.0,800325141.0,59.20537582365311,59
BENGALURU - JAIPUR,5699074.0,806024215.0,59.626974247507704,60
BENGALURU - LUCKNOW,5549487.0,811573702.0,60.03750672566145,61
HYDERABAD - KOCHI,5505943.0,817079645.0,60.444817964405374,62
MANGALORE - MUMBAI,5479029.0,822558674.0,60.85013819549092,63
CHENNAI - PORT BLAIR,5260034.0,827818708.0,61.23925790929383,64
CHENNAI - MADURAI,5252114.0,833070822.0,61.627791727999224,65
BENGALURU - GUWAHATI,5199126.0,838269948.0,62.012405671777024,66
BENGALURU - MANGALORE,5171018.0,843440966.0,62.394940279771895,67
DABOLIM - HYDERABAD,5154081.0,848595047.0,62.776221945182606,68
BHUBANESWAR - KOLKATA,5141962.0,853737009.0,63.15660708752683,69
BENGALURU - TRIVANDRUM,5106515.0,858843524.0,63.534369979426444,70
DELHI - UDAIPUR,5088792.0,863932316.0,63.910821783092075,71
KOLKATA - PORT BLAIR,5061676.0,868993992.0,64.28526763581527,72
AHMEDABAD - HYDERABAD,5055851.0,874049843.0,64.65928257453054,73
MUMBAI - UDAIPUR,4935775.0,878985618.0,65.02441469257303,74
BENGALURU - VISAKHAPATNAM,4894883.0,883880501.0,65.38652175729138,75
JAMMU - SRINAGAR,4869960.0,888750461.0,65.74678510186894,76
HYDERABAD - PUNE,4860565.0,893611026.0,66.10635343578473,77
BHUBANESWAR - MUMBAI,4831931.0,898442957.0,66.46380352219774,78
COIMBATORE - MUMBAI,4817860.0,903260817.0,66.82021268311618,79
AHMEDABAD - PUNE,4751675.0,908012492.0,67.1717256992078,80
BENGALURU - PATNA,4714190.0,912726682.0,67.5204657004345,81
DELHI - VADODARA,4661611.0,917388293.0,67.86531608318498,82
BHOPAL - DELHI,4641600.0,922029893.0,68.20868611911776,83
DEHRA DUN - DELHI,4634675.0,926664568.0,68.55154386672348,84
BENGALURU - GOA,4500603.0,931165171.0,68.88448341641089,85
GUWAHATI - IMPHAL,4484232.0,935649403.0,69.21621189430017,86
DELHI - SURAT,4453639.0,940103042.0,69.54567720442202,87
AHMEDABAD - CHENNAI,4355612.0,944458654.0,69.86789080510911,88
AHMEDABAD - KOLKATA,4226887.0,948685541.0,70.18058176104537,89
HYDERABAD - JAIPUR,4189615.0,952875156.0,70.49051545914398,90
KOLKATA - PUNE,4043375.0,956918531.0,70.78963081140174,91
MUMBAI - VADODARA,4030979.0,960949510.0,71.08782914905993,92
DELHI - VISAKHAPATNAM,4027823.0,964977333.0,71.38579401639895,93
BHUBANESWAR - HYDERABAD,3973808.0,968951141.0,71.67976303478699,94
JAIPUR - KOLKATA,3874727.0,972825868.0,71.96640237234725,95
MUMBAI - RAIPUR,3797115.0,976622983.0,72.24730023385855,96
MUMBAI - PATNA,3732237.0,980355220.0,72.52339863802943,97
BENGALURU - VARANASI,3688834.0,984044054.0,72.79628623349868,98
DELHI - TRIVANDRUM,3612829.0,987656883.0,73.0635512334015,99
BENGALURU - RANCHI,3584531.0,991241414.0,73.3287228419572,100
COIMBATORE - DELHI,3573544.0,994814958.0,73.59308166901842,101
NAGPUR - PUNE,3560538.0,998375496.0,73.85647835572128,102
BENGALURU - CHANDIGARH,3548174.0,1001923670.0,74.11896039507747,103
KOLKATA - PATNA,3517978.0,1005441648.0,74.37920863539776,104
BAGDOGRA - BENGALURU,3481611.0,1008923259.0,74.63676656675202,105
COIMBATORE - HYDERABAD,3351057.0,1012274316.0,74.88466655005578,106
BHOPAL - MUMBAI,3228800.0,1015503116.0,75.12352236960503,107
MUMBAI - TRIVANDRUM,3185330.0,1018688446.0,75.3591624240168,108
BENGALURU - NAGPUR,3174206.0,1021862652.0,75.59397956213255,109
HYDERABAD - VARANASI,3142763.0,1025005415.0,75.82647065232518,110
IMPHAL - KOLKATA,3122229.0,1028127644.0,76.05744270591023,111
CHENNAI - TRIVANDRUM,3075668.0,1031203312.0,76.28497033252116,112
