RoutePair,Year,Month,TotalPax
ADAMPUR - AHMEDABAD,2021,12,30.0
ADAMPUR - DELHI,2018,5,4448.0
ADAMPUR - DELHI,2018,6,3965.0
ADAMPUR - DELHI,2018,7,4538.0
ADAMPUR - DELHI,2018,8,4127.0
ADAMPUR - DELHI,2018,9,4401.0
ADAMPUR - DELHI,2018,10,4528.0
ADAMPUR - DELHI,2018,11,4608.0
ADAMPUR - DELHI,2018,12,4598.0
ADAMPUR - DELHI,2019,1,4639.0
ADAMPUR - DELHI,2019,2,4169.0
ADAMPUR - DELHI,2019,3,4636.0
ADAMPUR - DELHI,2019,4,4525.0
ADAMPUR - DELHI,2019,5,3744.0
ADAMPUR - DELHI,2019,6,4447.0
ADAMPUR - DELHI,2019,7,4136.0
ADAMPUR - DELHI,2019,8,4639.0
ADAMPUR - DELHI,2019,9,4409.0
ADAMPUR - DELHI,2019,10,4928.0
ADAMPUR - DELHI,2019,11,5125.0
ADAMPUR - DELHI,2019,12,5207.0
ADAMPUR - DELHI,2020,1,4446.0
ADAMPUR - DELHI,2020,2,4368.0
ADAMPUR - DELHI,2020,3,2314.0
ADAMPUR - DELHI,2020,5,104.0
ADAMPUR - DELHI,2020,11,462.0
ADAMPUR - DELHI,2020,12,1802.0
ADAMPUR - DELHI,2021,1,2970.0
ADAMPUR - DELHI,2021,2,3855.0
ADAMPUR - DELHI,2021,3,3768.0
ADAMPUR - DELHI,2021,4,1777.0
ADAMPUR - DELHI,2023,10,271.0
ADAMPUR - DELHI,2025,12,27.0
ADAMPUR - GHAZIABAD,2025,12,3018.0
ADAMPUR - GHAZIABAD,2026,1,2653.0
ADAMPUR - GHAZIABAD,2026,2,3825.0
ADAMPUR - GHAZIABAD,2026,3,3816.0
ADAMPUR - GHAZIABAD,2026,4,2829.0
ADAMPUR - GUWAHATI,2021,12,5.0
ADAMPUR - HINDON AIRPORT,2024,3,117.0
ADAMPUR - HINDON AIRPORT,2024,4,3283.0
ADAMPUR - HINDON AIRPORT,2024,6,3085.0
ADAMPUR - HINDON AIRPORT,2024,7,2494.0
ADAMPUR - HINDON AIRPORT,2024,8,2039.0
ADAMPUR - HINDON AIRPORT,2024,9,1698.0
ADAMPUR - HINDON AIRPORT,2024,10,3139.0
ADAMPUR - HINDON AIRPORT,2024,11,3198.0
ADAMPUR - HINDON AIRPORT,2024,12,3727.0
ADAMPUR - HINDON AIRPORT,2025,1,2748.0
ADAMPUR - HINDON AIRPORT,2025,2,3339.0
ADAMPUR - HINDON AIRPORT,2025,3,3741.0
ADAMPUR - HINDON AIRPORT,2025,4,3264.0
ADAMPUR - HINDON AIRPORT,2025,5,2401.0
ADAMPUR - HINDON AIRPORT,2025,6,3038.0
ADAMPUR - HINDON AIRPORT,2025,7,2959.0
ADAMPUR - HINDON AIRPORT,2025,8,1918.0
ADAMPUR - HINDON AIRPORT,2025,9,1705.0
ADAMPUR - HINDON AIRPORT,2025,10,3018.0
ADAMPUR - HINDON AIRPORT,2025,11,3091.0
ADAMPUR - JAIPUR,2021,3,45.0
ADAMPUR - JAIPUR,2021,4,87.0
ADAMPUR - KANDLA,2020,12,4.0
ADAMPUR - KANDLA,2021,1,2.0
ADAMPUR - MUMBAI,2020,11,241.0
ADAMPUR - MUMBAI,2020,12,1470.0
ADAMPUR - MUMBAI,2021,1,431.0
ADAMPUR - MUMBAI,2021,3,102.0
ADAMPUR - MUMBAI,2021,4,281.0
ADAMPUR - MUMBAI,2025,7,4483.0
ADAMPUR - MUMBAI,2025,8,6038.0
ADAMPUR - MUMBAI,2025,9,5849.0
ADAMPUR - MUMBAI,2025,10,9479.0
ADAMPUR - MUMBAI,2025,11,9939.0
ADAMPUR - MUMBAI,2025,12,8764.0
ADAMPUR - MUMBAI (MUMBAI),2026,1,10658.0
ADAMPUR - MUMBAI (MUMBAI),2026,2,9675.0
ADAMPUR - MUMBAI (MUMBAI),2026,3,9772.0
ADAMPUR - MUMBAI (MUMBAI),2026,4,8911.0
ADAMPUR - NANDED,2025,11,404.0
ADAMPUR - NANDED,2025,12,347.0
ADAMPUR - NANDED,2026,1,578.0
ADAMPUR - NANDED,2026,2,344.0
ADAMPUR - NANDED,2026,3,430.0
ADAMPUR - NANDED,2026,4,212.0
ADAMPUR - PATNA,2021,12,47.0
AGARTALA - AHMEDABAD,2021,7,210.0
AGARTALA - AHMEDABAD,2021,8,168.0
AGARTALA - AHMEDABAD,2021,9,293.0
AGARTALA - AHMEDABAD,2021,10,415.0
AGARTALA - AHMEDABAD,2021,11,299.0
AGARTALA - AHMEDABAD,2021,12,387.0
AGARTALA - AHMEDABAD,2022,1,166.0
